trial,Controller,RMSE_theta,RMSE_theta_max,IAE_theta,peak_theta,peak_theta_mean,peak_u,peak_uabs,energy_u,energy_uabs,energy_z,duty_du,duty_abs,duty_normsat,rho,unstable
43,Proposed,0.0234534,0.0331346,0.245142,0.134619,0.0726836,0.400206,0.463996,0.059943,0.499112,22.5912,0,0.1,0,0.912746,0
43,NoRelax-ProposedActive,0.0432006,0.0694481,0.409396,0.289414,0.158524,0.680545,0.560448,0.127394,0.753346,28.5809,0,0.153333,0.05,0.880127,0
43,QS-Hinf,0.0341421,0.0452251,0.424917,0.100906,0.0760399,0.39921,0.420731,0.0355506,0.344264,22.4321,0,0.0433333,0,0.987337,0
43,PDL-Hinf,0.0710648,0.145943,0.677121,0.473504,0.239675,0.724113,0.738213,0.217218,1.44276,42.7995,0,0.336667,0.213333,0.877455,0
43,RobustLQR,0.0122518,0.0148043,0.129561,0.0708389,0.0384167,0.401733,0.418253,0.047593,0.361969,16.6572,0,0.07,0,0.962297,0
43,Core-CQLF-Hinf,0.0343006,0.0441593,0.431635,0.0998313,0.07503,0.400122,0.421137,0.036503,0.355807,22.8567,0,0.0533333,0,0.985302,0
44,Proposed,0.0167175,0.0214726,0.194361,0.0492054,0.0448856,0.400206,0.4623,0.0573843,0.236369,20.1813,0,0.0333333,0,0.966219,0
44,NoRelax-ProposedActive,0.0435547,0.0477663,0.471446,0.134292,0.130092,0.528391,0.566653,0.19026,0.352304,29.5279,0,0.0433333,0,0.955674,0
44,QS-Hinf,0.0339035,0.0422339,0.421494,0.0768656,0.0666787,0.39921,0.400032,0.0268463,0.139017,11.4912,0,0,0,0.994148,0
44,PDL-Hinf,0.0650233,0.0742088,0.688319,0.219847,0.211746,0.646495,0.63204,0.265388,0.477864,38.9929,0,0.05,0.0166667,0.944136,0
44,RobustLQR,0.029904,0.0376573,0.363031,0.0741578,0.0621014,0.401733,0.411503,0.0395965,0.161375,12.1569,0,0.0233333,0,0.981852,0
44,Core-CQLF-Hinf,0.0302753,0.0366961,0.376521,0.0716094,0.0607097,0.400122,0.411207,0.0276596,0.148513,12.29,0,0.01,0,0.99301,0
45,Proposed,0.0215601,0.027704,0.244765,0.0599012,0.0570167,0.400206,0.425513,0.0594332,0.333914,21.6401,0,0.0466667,0,0.926776,0
45,NoRelax-ProposedActive,0.0414717,0.0493715,0.442451,0.144774,0.133293,0.638423,0.467703,0.136166,0.486227,28.2973,0,0.0666667,0,0.91343,0
45,QS-Hinf,0.02789,0.038146,0.337355,0.0852252,0.0649915,0.39921,0.409926,0.0316557,0.209883,17.8061,0,0.0166667,0,0.989308,0
45,PDL-Hinf,0.0564767,0.0676741,0.580371,0.238666,0.198821,0.759884,0.630759,0.206677,0.691335,34.2908,0,0.1,0.0233333,0.903591,0
45,RobustLQR,0.0160581,0.0197125,0.192321,0.0631163,0.041238,0.401733,0.415506,0.045109,0.240301,14.5004,0,0.0433333,0,0.969521,0
45,Core-CQLF-Hinf,0.0284166,0.0374335,0.350004,0.0860894,0.0651577,0.400122,0.410295,0.0330102,0.220054,18.4782,0,0.0266667,0,0.987323,0
46,Proposed,0.0147719,0.0183768,0.165295,0.0622264,0.0441492,0.400206,0.42582,0.0572945,0.234037,18.9835,0,0.0566667,0,0.937177,0
46,NoRelax-ProposedActive,0.031909,0.0380724,0.335054,0.123367,0.109428,0.530787,0.458394,0.119173,0.314334,23.7722,0,0.0766667,0,0.908307,0
46,QS-Hinf,0.0238928,0.029508,0.285318,0.0752,0.0581606,0.39921,0.405804,0.0339643,0.165084,14.1556,0,0.0266667,0,0.991488,0
46,PDL-Hinf,0.0447397,0.0540158,0.44752,0.2093,0.168825,0.774508,0.490298,0.196155,0.473109,28.1187,0,0.103333,0.0266667,0.869667,0
46,RobustLQR,0.0198225,0.0244967,0.225851,0.0677703,0.0509661,0.401733,0.406355,0.0453244,0.196995,13.4238,0,0.05,0,0.970187,0
46,Core-CQLF-Hinf,0.0220621,0.0279334,0.261986,0.0733746,0.054631,0.400122,0.406164,0.0357497,0.173861,14.77,0,0.03,0,0.990065,0
