trial,RMSE_theta,RMSE_theta_max,IAE_theta,peak_theta,peak_theta_mean,peak_u,peak_uabs,energy_u,energy_uabs,energy_z,duty_du,duty_abs,duty_normsat,rho,unstable
23,0.016795572491357536,0.040245454282571015,0.14384281870365115,0.20112675153806342,0.06475689732259698,0.4280209960847677,0.41883674308594687,0.03314344345260352,0.21795597197651284,17.544806332277993,0.0,0.013333333333333334,0.013333333333333334,0.9276863506617629,0.0
24,0.022759422276980447,0.050851596715666046,0.23417142124256604,0.2030440458304224,0.07522766556536004,0.3832471430699175,0.4242804387893309,0.028124054868352257,0.2139428044426075,16.30169580794894,0.0,0.02,0.013333333333333334,0.9771013402737266,0.0
25,0.017615674347296655,0.0442160807385513,0.15955168197221375,0.2009138590629946,0.06671669090886634,0.38708021615532634,0.41095479324170253,0.03003755877523362,0.10110370390859391,15.678239152419417,0.0,0.013333333333333334,0.013333333333333334,0.9580162323577028,0.0
26,0.016598116298878383,0.04103841481277261,0.14364792198980772,0.20040525572797788,0.06347738367523013,0.41392033689775043,0.41414788546764564,0.03207396659362297,0.1994012039255565,20.43699075475538,0.0,0.013333333333333334,0.013333333333333334,0.9746165948062537,0.0
27,0.01855841881134002,0.04601053417978396,0.1765638894090879,0.20168815713094618,0.06758966963920443,0.39168340055064105,0.4130384175320056,0.02942030103987213,0.13800208948941037,16.987421801554827,0.0,0.013333333333333334,0.013333333333333334,0.9713432416923161,0.0
28,0.021525920331928967,0.04789191672432828,0.22591745407029987,0.20098942780811985,0.07368077042790695,0.3907001929739348,0.4164076415650825,0.03036591172534713,0.1578048599554831,16.254932281845846,0.0,0.013333333333333334,0.013333333333333334,0.9788809273855379,0.0
29,0.028975794605594025,0.056245552775465266,0.30861336012365476,0.20244566504001077,0.08654052875021717,0.38803032325075043,0.48852029370658356,0.026085850875987804,0.41341817205880604,13.656476304320307,0.0,0.023333333333333334,0.013333333333333334,0.9730111374982182,0.0
30,0.018957766778681367,0.04515612995295586,0.1762762502218631,0.20056939935620108,0.07067491546950912,0.3903505577793814,0.4161857766398012,0.032208315594776694,0.10317622976225455,15.062569826389462,0.0,0.013333333333333334,0.013333333333333334,0.9624896095507556,0.0
31,0.028405941816883967,0.05472090829627138,0.29481464675365043,0.20267674171229916,0.08526988939367622,0.3872822255819906,0.48890111396953145,0.025732908557973028,0.42121305711135293,13.373031911106745,0.0,0.023333333333333334,0.013333333333333334,0.9649564316445223,0.0
32,0.020821801398838095,0.04898212952730987,0.212830409730132,0.20420784366928857,0.07064584143838336,0.3947639594856904,0.4193110971246473,0.027731949103684664,0.18807713826281713,17.28157202241361,0.0,0.02,0.013333333333333334,0.9781854500931625,0.0
33,0.01648685174520715,0.04202019673154598,0.14180000848801635,0.20225695773041397,0.06368641663988807,0.4033816473434678,0.4177124166731061,0.032213970490436526,0.20358439395511,18.451359855591427,0.0,0.013333333333333334,0.013333333333333334,0.9573515594748511,0.0
34,0.016985246715508908,0.043709731843742154,0.15498763883793032,0.20005590266433776,0.06551420812572482,0.39050940131611245,0.40798387967000627,0.03157497012058582,0.08267178225977474,15.871265755305252,0.0,0.013333333333333334,0.013333333333333334,0.96114558525136,0.0
35,0.019200962612304296,0.04627260943384817,0.18365365402129302,0.2010832178397343,0.07059552120538345,0.38860412029407904,0.41366485490283833,0.030822758702228475,0.11403442763910615,15.847264543490212,0.0,0.013333333333333334,0.013333333333333334,0.9696577829711857,0.0
36,0.02134638736150482,0.04624610706601423,0.20809099938654035,0.20084549532357657,0.07093054536096771,0.40400425299681825,0.43156428516844336,0.028090467820246396,0.22666707890365154,14.177497467656645,0.0,0.013333333333333334,0.013333333333333334,0.9436637761993852,0.0
37,0.015824366080036355,0.039592714050782254,0.13496312878955616,0.20048404739279108,0.06269390394003718,0.4239418324214714,0.411370818460003,0.034589103363665566,0.1684414894952677,19.094159706904417,0.0,0.013333333333333334,0.013333333333333334,0.96317678184057,0.0
38,0.02265254146214537,0.04969880289772528,0.22789383623443257,0.20111274473016832,0.0765461180258156,0.39201021883044784,0.4313942560468799,0.02905915767075708,0.19167073882678354,15.026735181736038,0.0,0.016666666666666666,0.013333333333333334,0.9713320410149618,0.0
39,0.01622222378590452,0.0421024810042186,0.13826034781333812,0.20268160116046371,0.06290609723935159,0.39755421651415546,0.4136368435112988,0.031793310324824166,0.16507528187061205,16.79013148012573,0.0,0.013333333333333334,0.013333333333333334,0.9391609507776932,0.0
40,0.01753943681748986,0.04377980972819749,0.1671539142652892,0.2000548555425318,0.06599942875359315,0.4001936076123855,0.40965666618063934,0.031017047798971027,0.10169251457672855,17.216860675097557,0.0,0.013333333333333334,0.013333333333333334,0.9731249187822956,0.0
41,0.015283759054802611,0.04220907237849733,0.1376492626502488,0.2001833354007386,0.06174144553223176,0.39225632454005505,0.4031680257049222,0.03374115902026521,0.0810521079188673,17.89603152313307,0.0,0.013333333333333334,0.013333333333333334,0.9721024756057718,0.0
42,0.02123778772470375,0.044144308899205655,0.2027257538773008,0.2004026645513197,0.06971498877592056,0.43537782356755117,0.42142569638674826,0.03046209787795777,0.3305492884816934,16.128433288382038,0.0,0.013333333333333334,0.013333333333333334,0.9337576717261261,0.0
43,0.01700552691986498,0.04001139436801735,0.14527340737475786,0.20230055853601528,0.06603381525321299,0.4217823899733824,0.42702722301744594,0.03405222940015145,0.2730197107730025,18.206872182447206,0.0,0.013333333333333334,0.013333333333333334,0.9322055092132331,0.0
44,0.020756957683297272,0.04629390521913514,0.20586374129793208,0.19943432479369794,0.07160862635209644,0.390367655774266,0.4234539704809088,0.02979622751665006,0.14304236105046306,15.43593151323531,0.0,0.013333333333333334,0.013333333333333334,0.9704021740861188,0.0
45,0.017199767143192553,0.0411221547136293,0.1513549007438348,0.20092123804674977,0.06435079226327986,0.42806254949180184,0.41138856244251654,0.03200263558628235,0.18088694026215796,17.340219710262943,0.0,0.013333333333333334,0.013333333333333334,0.9449777772832257,0.0
46,0.016713233052546236,0.043473332811470165,0.1451870372385868,0.20150343006597654,0.06449214020976386,0.3883466981017488,0.4069411915583243,0.03035535224144173,0.11146835391797455,15.695444954424524,0.0,0.013333333333333334,0.013333333333333334,0.9472620651982279,0.0
47,0.018090064195312366,0.04445973650271231,0.16027058448074766,0.20166993729092167,0.06590009886851145,0.3976227355913997,0.4120424078681146,0.02968007396479987,0.16387852456495985,15.793085259381009,0.0,0.013333333333333334,0.013333333333333334,0.9455475270823471,0.0
48,0.02102234032423732,0.04905100867892096,0.21217999837713356,0.20234553886108542,0.07298613971111684,0.3858769013907913,0.419637885777886,0.029160088265769903,0.16366413426717022,15.967300506311227,0.0,0.016666666666666666,0.013333333333333334,0.9737981103129064,0.0
49,0.016982054692525655,0.040661220884017524,0.14789032887892642,0.2008068145868658,0.06448792729657285,0.4247018912703189,0.4187461161846303,0.03265984062408409,0.23427951066915426,20.161199725234855,0.0,0.013333333333333334,0.013333333333333334,0.9690907472341596,0.0
50,0.017745820009403605,0.043995622314721386,0.16057721951970014,0.20093208767924814,0.06535438543676411,0.3983245948563988,0.40932472656478064,0.029826095362202633,0.1450491564088394,16.880613673913132,0.0,0.013333333333333334,0.013333333333333334,0.960380092498582,0.0
51,0.024099630343143667,0.05111281800604763,0.24964781063607472,0.20364597110373117,0.07673073421221684,0.392616830289038,0.4401017207318624,0.026735514233966147,0.2716605487085643,15.596326668237129,0.0,0.02,0.013333333333333334,0.9747077892924841,0.0
52,0.02466408167671095,0.050551973162189595,0.250728604523234,0.20170443954377806,0.07875137589086892,0.3902989521793063,0.45755746910089207,0.026830250197970675,0.27471600321585204,13.360128416876003,0.0,0.016666666666666666,0.013333333333333334,0.958030870714413,0.0
53,0.022374329421551622,0.04843943534825954,0.217918735220538,0.20232940775100217,0.07541488616553019,0.38375199208021543,0.4432137634544458,0.027173615467096564,0.19914427493097414,13.677472859221616,0.0,0.013333333333333334,0.013333333333333334,0.9526976397619855,0.0
54,0.01947455523794373,0.045842808137401554,0.19196454334988577,0.20045774762887394,0.06942207094699919,0.3901058769845253,0.4162232007690721,0.029834139094212134,0.11820809646533839,16.13499590276553,0.0,0.013333333333333334,0.013333333333333334,0.9724835185053706,0.0
55,0.019098284664487576,0.045577448905020225,0.17939695008404546,0.20037106996253215,0.06950257226787587,0.3897866110701394,0.4168006606726666,0.03018016563527795,0.10625601386313606,15.103969406743625,0.0,0.013333333333333334,0.013333333333333334,0.9617153746958839,0.0
56,0.029359918335516134,0.05493391226513819,0.32590078228133196,0.20170459229656604,0.0861755715311115,0.3850718509689428,0.47172909439019706,0.02672117019102422,0.43352940352789604,14.023376190347982,0.0,0.016666666666666666,0.013333333333333334,0.9785857351052671,0.0
57,0.01963452007403294,0.04629370355183785,0.17946174333433862,0.20373574874677552,0.07294950652551657,0.3924543359154934,0.4270062415068646,0.03021291993492734,0.12925123758118148,14.325448223706099,0.0,0.013333333333333334,0.013333333333333334,0.9540460211191494,0.0
58,0.018416294636933978,0.04455418149776941,0.17052966815577636,0.19955769004832244,0.06831457232200831,0.3925477637556871,0.4145586476585262,0.030898250444833304,0.09464326114150041,15.445212562867063,0.0,0.013333333333333334,0.013333333333333334,0.9617472839755862,0.0
59,0.019951711877286435,0.04637969643153719,0.2012292433794397,0.20041858207756816,0.07021677799153322,0.3909736206393585,0.41711686194613107,0.029705924629772475,0.1261917400198276,16.524256741828918,0.0,0.013333333333333334,0.013333333333333334,0.9766974347373869,0.0
60,0.02995966055361339,0.05555608308487016,0.3255944768561023,0.2014444483502157,0.08752839598793652,0.3875235534853494,0.4900201478379098,0.026432873045352596,0.5020944578987956,13.693610123224587,0.0,0.02,0.013333333333333334,0.9746130192395447,0.0
61,0.015244164333089002,0.04107112629865669,0.13234551399248262,0.1991350935672923,0.06100584275012339,0.4053142578827646,0.4046670107527114,0.03416461145903945,0.09394945434286882,18.372454607596456,0.0,0.013333333333333334,0.013333333333333334,0.9713853684969298,0.0
62,0.01755148927204988,0.044033501091131876,0.15931177358383639,0.2003163067921644,0.065654318213134,0.3916968376734033,0.4094917427401824,0.029797883419901146,0.11339742877774944,15.66831673689044,0.0,0.013333333333333334,0.013333333333333334,0.9525692408455393,0.0
