trial,Controller,RMSE_theta,RMSE_theta_max,IAE_theta,peak_theta,peak_theta_mean,peak_u,peak_uabs,energy_u,energy_uabs,energy_z,duty_du,duty_abs,duty_normsat,rho,unstable
39,PDL-Hinf(d=0.95),0.047991,0.067939,0.45184,0.294436,0.18568,0.642528,0.606258,0.186942,0.748649,29.8764,0,0.163333,0.08,0.873537,0
39,PDL-Hinf(d=0.90),0.0731401,0.154541,0.728434,0.393819,0.194511,0.8,0.621007,0.443949,1.48231,50.0729,0.00666667,0.416667,0.34,0.860448,0
39,PDL-Hinf(d=0.85),6.2546,9.93236,60.9832,27.7368,15.4706,0.649043,0.8,0.226758,7.87991,58777.3,0,0.993333,0.946667,0.843387,0
40,Proposed,0.0188207,0.023373,0.220424,0.0488536,0.0477133,0.400376,0.436482,0.0578348,0.193024,21.8805,0,0.03,0,0.971825,0
40,PDL-Hinf(d=0.95),0.0750864,0.0866935,0.797059,0.246402,0.23594,0.61412,0.565794,0.227316,0.407756,46.0778,0,0.0533333,0.02,0.951335,0
40,PDL-Hinf(d=0.90),0.0904089,0.126957,0.926051,0.327994,0.271954,0.8,0.596649,0.765909,0.713426,61.2459,0.00333333,0.0766667,0.0566667,0.912175,0
40,PDL-Hinf(d=0.85),0.103119,0.15256,1.01572,0.427919,0.310935,0.8,0.64247,2.519,1.41358,73.7282,0.00333333,0.17,0.113333,0.886598,0
41,Proposed,0.0179355,0.0204877,0.207792,0.0488629,0.0469835,0.400376,0.411398,0.0603404,0.187889,22.6854,0,0.0433333,0,0.970793,0
41,PDL-Hinf(d=0.95),0.073927,0.0853702,0.774103,0.295908,0.242111,0.622102,0.46362,0.22549,0.37029,46.1237,0,0.0866667,0.00333333,0.949774,0
41,PDL-Hinf(d=0.90),0.0927737,0.124633,0.908721,0.466943,0.298078,0.8,0.47902,0.68935,0.732451,64.0129,0.00333333,0.166667,0.103333,0.910117,0
41,PDL-Hinf(d=0.85),1.29586,1.74382,10.6037,5.1381,4.8996,0.8,0.8,0.706633,5.62787,3722.77,0.01,0.863333,0.83,0.880683,0
42,Proposed,0.0210684,0.0296653,0.2401,0.0866097,0.0631106,0.436209,0.478176,0.0554615,0.49411,18.7048,0,0.0433333,0,0.930892,0
42,PDL-Hinf(d=0.95),0.0503782,0.0631645,0.525927,0.184661,0.173984,0.496168,0.700399,0.15384,1.14408,30.6625,0,0.09,0.04,0.90929,0
42,PDL-Hinf(d=0.90),0.0620092,0.0874285,0.59665,0.25834,0.203481,0.55494,0.751531,0.419447,1.71644,37.8966,0,0.256667,0.126667,0.883706,0
42,PDL-Hinf(d=0.85),0.076194,0.113463,0.733826,0.340548,0.235579,0.796331,0.789772,0.95838,2.70923,46.4289,0.00333333,0.486667,0.356667,0.857322,0
43,Proposed,0.0210844,0.0305442,0.220406,0.124824,0.0661314,0.41126,0.45974,0.0614042,0.483641,21.5467,0,0.0966667,0,0.92697,0
43,PDL-Hinf(d=0.95),0.0767017,0.167934,0.751319,0.481643,0.239088,0.681762,0.723212,0.210924,1.5897,47.7051,0,0.393333,0.296667,0.877353,0
43,PDL-Hinf(d=0.90),378.267,596.912,2212.21,3037.78,1920.45,0.8,0.8,0.144254,7.57517,2.69497e+08,0.00333333,0.953333,0.92,0.863225,1
43,PDL-Hinf(d=0.85),2307.13,5576.02,13279.3,28455.7,11770,0.665416,0.8,0.129875,8.4327,1.39242e+10,0,0.99,0.973333,0.844923,1
44,Proposed,0.0154313,0.0204092,0.177404,0.0490497,0.0435557,0.400376,0.462168,0.0591362,0.229959,19.251,0,0.03,0,0.968867,0
44,PDL-Hinf(d=0.95),0.0645227,0.074596,0.682705,0.217466,0.208616,0.664393,0.622388,0.271165,0.480306,39.1842,0,0.0566667,0.0166667,0.941897,0
44,PDL-Hinf(d=0.90),0.0780648,0.111825,0.792067,0.285102,0.240512,0.538535,0.66333,0.914286,0.803484,51.6506,0,0.0766667,0.0533333,0.875737,0
44,PDL-Hinf(d=0.85),0.0876205,0.134337,0.863199,0.337146,0.264953,0.8,0.717577,3.27339,1.60029,60.9838,0.0166667,0.13,0.1,0.844791,0
45,Proposed,0.0193262,0.0242281,0.219651,0.0562318,0.0523547,0.400376,0.425266,0.0607796,0.324339,20.5887,0,0.05,0,0.940405,0
45,PDL-Hinf(d=0.95),0.0562803,0.0685387,0.577276,0.240956,0.196681,0.716155,0.622948,0.206059,0.690283,34.5224,0,0.103333,0.0233333,0.901865,0
45,PDL-Hinf(d=0.90),0.0699952,0.0961178,0.667417,0.349713,0.230164,0.8,0.691978,0.604332,1.10512,44.1184,0.00666667,0.186667,0.113333,0.871067,0
45,PDL-Hinf(d=0.85),0.0959351,0.174174,0.963574,0.465723,0.26327,0.8,0.8,1.26301,2.64993,67.2717,0.00666667,0.51,0.44,0.841093,0
46,Proposed,0.0134101,0.0157598,0.148544,0.0615944,0.041302,0.400376,0.426775,0.0587323,0.233057,18.2156,0,0.0566667,0,0.943378,0
46,PDL-Hinf(d=0.95),0.0445909,0.0547468,0.444999,0.211376,0.166797,0.8,0.483123,0.19496,0.470227,28.2985,0.00333333,0.103333,0.0266667,0.87021,0
46,PDL-Hinf(d=0.90),0.0562109,0.0769853,0.521252,0.304889,0.1943,0.8,0.647513,0.534924,0.859465,35.7397,0.00666667,0.196667,0.12,0.853222,0
